"IDm","IDw","FormTime","DisTime","AgeGap"
16,94,0.1795657565,0.2759472962,5.7633519692
50,85,0.7031401962,0.7685675028,-6.1554915183
23,62,0.0940360114,0.8463538299,-5.0554415838
16,88,0.5090233746,0.8869592125,8.1377766010
17,53,0.5628654876,0.9167139998,-14.2002407850
11,71,0.1571612875,0.9465393457,-29.8630348084
12,76,0.5148810796,0.9543009609,-25.6001931325
37,99,0.8680014427,1.0470953861,-22.7378491354
26,57,0.0608125804,1.0518217499,-6.8968987905
46,72,0.4823080411,1.1998402843,-6.9005814279
35,76,0.6479354177,1.2087159452,-17.4367051604
20,87,0.8111687637,1.2387970173,0.2658946663
11,73,1.1105490420,1.2949349150,-42.8614614817
29,62,0.3271117017,1.3112116683,-9.5899831941
17,100,0.8085321685,1.3144016404,-1.1100755227
29,72,0.6524103045,1.3434183368,-8.6937209763
15,88,0.2774022830,1.4107493769,0.5566697473
6,80,1.4729526132,1.6795296822,25.3841207473
16,87,1.2407424360,1.6946747307,30.8002671733
49,96,1.0223389591,1.7970161889,18.8931483409
50,72,0.6129025034,1.7989288787,16.7453961426
12,58,1.7763830397,1.9104650145,19.9626651684
45,52,0.2808163494,1.9160748465,7.8499957880
15,57,1.5748686762,1.9782933966,-7.7865409148
29,96,1.5147313502,2.0527248022,-12.9082430222
24,93,1.7135803051,2.0530010493,0.2462558822
23,91,1.9929489396,2.1484647371,4.1965594625
6,71,2.1495402691,2.1575803720,-14.9312747113
44,52,0.4172367590,2.2250225038,25.1437308278
37,99,2.1405015629,2.2423931564,-22.7378491354
41,79,2.0731779870,2.3027570094,14.7874481172
33,92,1.6207711316,2.3221929641,16.9422345776
19,96,1.7462253892,2.4995131412,-10.0724101601
9,81,2.3259461620,2.5068735525,31.2483965551
47,62,2.0708838915,2.5082559309,-5.1901987189
3,71,1.2749273243,2.5379827684,-26.9904480752
27,72,2.1713205370,2.5521946440,21.5704737521
9,58,2.2606315234,2.7169952434,33.7542596257
12,62,1.5110283584,2.7334154712,9.0472574374
11,98,0.9300114893,2.7348739442,-28.9359438787
20,90,2.3940488152,2.9213725595,-21.7666567238
41,85,2.4876183750,2.9293437934,-20.7736665495
9,92,2.9130660815,2.9985041368,17.8632531892
33,74,1.8914696758,3.0162820685,17.1084799217
32,99,2.7949235333,3.2938355500,-52.7932171278
20,98,2.1138619981,3.2961513378,-40.2178445470
28,58,3.0466718689,3.2992393040,23.3790482338
25,67,3.1053631615,3.3473126490,-60.1819713018
28,81,3.5488787925,3.5977646607,20.8731851632
1,82,2.6997094804,3.6110983950,19.4585143919
32,58,3.2558124212,3.6531572904,-2.6523549568
28,74,2.3010422048,3.7150946509,7.6542871414
37,88,2.4119727364,3.7790556534,-0.2562753654
6,90,3.4813460789,3.7976056443,4.4470040416
38,82,3.7639334145,3.8003909008,-13.1476220512
10,64,3.7670007574,3.8656838165,-28.3741035179
16,98,3.3224885948,3.9306400559,-9.6834720399
15,58,3.9150928753,3.9710100254,28.2159581483
40,81,3.7737808940,4.0471794737,0.5136580891
6,52,3.5538466444,4.0942814934,14.1639582102
47,82,3.9567823351,4.1901064389,-9.1575839122
40,90,1.4154846910,4.2187985786,-24.0098280591
6,88,2.7023630126,4.2205175501,3.8170648593
3,81,4.0645101918,4.2282161339,16.9113168259
15,73,3.8864824696,4.3631453427,-31.1900964967
9,73,4.1101786172,4.4393442084,-25.6517950193
15,86,3.6171871514,4.4643422857,26.2870928280
12,57,4.3515400994,4.4677106359,-16.0398338946
12,72,4.1307003726,4.5075719085,9.9435196552
37,86,3.0858974457,4.5977328037,25.4741477153
6,62,4.2762433259,4.6813384365,20.5609455293
40,95,4.0331661831,4.7090930998,5.2606282347
9,63,4.3282587946,4.7955688281,11.6696580263
41,93,3.3102709944,4.8342485359,-34.2162685929
6,85,4.7619283308,4.8644193446,-1.4436799138
23,52,3.1915137570,4.8706456558,-11.4524289029
27,80,4.0011018145,4.8837564830,25.4973867523
44,91,4.6405345745,4.9099595015,40.7927191932
44,72,4.2431657690,4.9124024960,32.4369803647
46,64,2.4174274159,4.9412408735,-43.2835666343
27,66,3.7393078634,4.9451808241,11.7987750037
45,87,4.3583118672,5.1109272866,20.1655930095
34,85,0.7160633733,5.1355188557,-12.2875781985
15,64,3.3064033565,5.1422329486,-18.1861725713
49,99,3.2430450229,5.2077452999,-17.0140462710
34,95,4.9883839653,5.2088454434,22.8735620507
38,81,2.4236566954,5.2154141795,-0.7706921974
11,86,3.4183861047,5.2879985246,14.6157278429
33,53,5.3151166021,5.3309471966,-7.8891940043
41,91,5.1321472440,5.3320886788,10.4829599399
37,90,4.0125923453,5.3469471486,0.3736638169
19,63,3.6735585029,5.3790428254,-17.9233442004
35,81,4.8079946712,5.4125488026,25.6202900700
41,80,3.4920040125,5.4318694953,6.0541341117
37,93,5.3818518694,5.4475215704,-18.9596221820
49,64,4.4155450975,5.4510405546,-13.2753148196
36,82,5.6802429963,5.7128676807,-20.7374082101
41,72,5.2974307521,5.7767534199,2.1272211114
40,77,5.3697736387,5.8062009167,-3.1924818722
35,100,4.8795633352,5.8194739602,0.4938833845
33,66,5.8926832419,5.9539001469,13.0423967524
9,52,5.7156635501,6.0003158766,16.4418645755
30,93,5.9650246762,6.0208094752,-52.9992987738
28,87,4.8228305926,6.0272697452,18.3822504051
32,72,4.3233816986,6.0479541856,-12.6715004700
33,85,5.5234960638,6.0485552933,-0.0867921601
18,62,5.8403246060,6.1459183697,24.8429383245
17,64,5.7207482885,6.1859091114,-19.8799364863
41,85,5.9352235747,6.3277331024,-20.7736665495
43,93,5.7746589803,6.3519917736,-49.7653991285
34,66,5.9017858555,6.4501444768,0.8416107140
2,99,4.2977501380,6.4519970980,-20.4445423181
17,99,6.2236553656,6.4597642855,-23.6186679377
24,70,5.6543298086,6.5432810678,-2.3780947148
41,61,6.4945046517,6.6676392610,16.8205781611
32,74,5.9191151737,6.6767747162,-18.3771160491
24,95,6.6352637974,6.7952667579,48.8499981748
49,52,6.6307818610,6.8540135703,15.8144208499
40,66,5.5860417862,6.8561479913,-16.7713231020
3,91,5.6027326041,6.8657958143,17.7537732117
38,91,5.6346476322,6.9371694297,0.0717641884
27,58,6.7873837690,6.9602019426,31.5896192653
22,88,6.9700749292,6.9753682855,-35.2518707747
26,66,6.4973988625,7.0274594360,9.3147560109
33,71,6.6766737548,7.0365823811,-13.5743869576
32,87,6.7848278344,7.0506011727,-7.6491527854
16,80,2.4101798090,7.0955383198,29.7048324890
33,79,7.1171760363,7.1258037672,35.4743225066
10,52,5.5855204497,7.1397744546,0.7156321516
30,99,6.9636753276,7.2976225299,-56.7775257273
17,62,7.1745776669,7.3010927485,15.6067865023
39,95,6.7009252879,7.3259474269,-4.1189140235
3,72,5.7622774893,7.3338474097,9.3980343832
45,83,6.7901901002,7.4436960262,30.7406512131
20,76,6.5473626747,7.4716647610,-40.3001658060
32,92,4.9898020486,7.5069741450,-18.5433613932
6,70,6.7643540748,7.5129569552,-17.5106325543
16,65,7.1840127822,7.5250359258,43.5227169695
40,63,7.1794069645,7.5296085603,-19.0650804397
40,53,6.9872674325,7.5736992398,-37.7029138586
39,87,6.7064226286,7.5787197195,-11.3568189271
20,63,4.6460676634,7.5820867003,-16.8219091045
23,79,6.7609028625,7.6069738522,8.5010476398
23,64,7.5806728211,7.6077978880,-40.5421645724
38,96,4.3257980869,7.6808343702,-12.4984966859
43,98,6.3491218851,7.7489239228,-48.8833009528
41,100,7.6557250052,7.8739258003,-15.4859031314
44,64,6.9277138117,7.9300613649,-3.9460048417
9,96,7.5460804563,7.9873243576,19.5205920666
36,80,7.8676667908,7.9977880322,-11.9468477987
9,74,7.6279017759,8.0000313162,18.0294985333
22,89,7.8254865309,8.0111426265,-0.0942273572
24,53,7.9525689797,8.0457611948,5.8864560815
9,58,6.3771026992,8.1720076174,33.7542596257
26,72,7.4698341653,8.2283524180,19.0864547593
37,80,7.0153410520,8.2312088167,21.3107805226
37,88,8.1208063511,8.2596242630,-0.2562753654
9,100,8.0069989147,8.3197934505,6.1219898697
19,66,4.9009484542,8.4446725839,-15.6295868626
32,82,8.4075293759,8.5579263198,-17.5351478811
32,53,7.5005700954,8.5668681960,-43.3747899751
43,81,5.3595216782,8.5974462156,-5.9086269815
12,53,7.6907074498,8.6426246174,-20.7597698499
36,66,7.2829751746,8.7044919484,-25.6454595474
26,93,8.3689294263,8.7119387429,-17.2570349450
9,90,8.1475421096,8.7424862678,6.7249104070
39,62,8.6621228228,8.7688687882,-17.2754288295
41,88,5.0926557880,8.8233532524,-15.5129217763
37,92,7.9589850302,8.8413269100,11.5120065992
36,99,8.1868999490,8.8685316126,-55.9954774568
15,70,8.8857568245,8.8869609602,-20.7710276663
39,80,8.6997884432,8.8971705285,-12.4522536115
6,52,8.3262664774,8.9165949116,14.1639582102
31,80,8.0111891727,8.9729767859,16.0761352615
23,72,7.6250917945,8.9906506761,-4.1591793660
46,63,5.4350997328,8.9999589648,-18.9660375141
34,72,7.4117346624,9.0078995977,10.6133094624
23,88,8.2816009554,9.0098553238,-21.7993222537
4,70,8.5295854604,9.0152785573,-58.0466961033
7,72,9.0235799704,9.0846857906,-16.2099560427
1,76,7.6182953676,9.0868103355,-11.2215509847
44,82,8.4562328410,9.0950016702,27.5733329536
28,66,8.0745235250,9.1066889529,3.5882039721
28,90,8.2051147988,9.1066889529,-3.6503009849
29,74,9.0700153037,9.1404567562,-14.3993365555
17,71,8.7908675527,9.2199064365,-19.8854337383
36,82,8.6712021571,9.2238818801,-20.7374082101
32,76,7.9426251447,9.2504672953,-48.2152132577
37,86,8.7171778800,9.2614072066,25.4741477153
25,90,7.1402748607,9.2670116644,-29.8143899445
43,70,8.8931258663,9.3007178035,-52.3897497255
12,65,9.1358689400,9.3339361661,27.6883171360
41,81,8.6776817781,9.3632266099,9.6405035541
49,58,4.2346552214,9.4218563221,33.1268159000
16,98,8.9568362875,9.4598835090,-9.6834720399
13,71,8.5351452530,9.4647662804,-55.4804224554
34,71,8.7124500029,9.4647662804,-25.7751729960
3,88,5.9613377014,9.4842540364,-8.2421085045
34,97,9.3397505531,9.4996929556,30.4286556729
26,59,9.2784810205,9.5320106196,37.9158330484
13,89,9.4245707843,9.5513803775,-1.5744394672
